sec,pd_true,pf_true,pd_hat_rule,pf_hat_rule,pd_var_rule,pf_var_rule,pd_ci_low_rule,pd_ci_high_rule,pf_ci_low_rule,pf_ci_high_rule,pd_hat_global,pf_hat_global,pd_var_global,pf_var_global,pd_ci_low_global,pd_ci_high_global,pf_ci_low_global,pf_ci_high_global,pd_hat_full,pf_hat_full,pd_var_full,pf_var_full,pd_ci_low_full,pd_ci_high_full,pf_ci_low_full,pf_ci_high_full
223,0.604,0.09899999999999999,0.9,0.05,0.0,0.0,0.9,0.9,0.05,0.05,0.9629416520015396,0.02219722683154961,0.0005273649287007699,0.00032075630471731557,0.9179313741741714,1.0,0.0,0.05730018141092996,0.8834437391743037,0.036126157460269745,0.002659028378257684,0.0003100062250915759,0.7823748348668229,0.9845126434817846,0.001616449922943415,0.07063586499759608
224,0.604,0.09899999999999999,0.9,0.05,0.0,0.0,0.9,0.9,0.05,0.05,0.9633820997190712,0.012644240067275768,0.000521335413693765,0.00018449797921768783,0.9186298693249784,1.0,0.0,0.03926692657639181,0.8840931503415811,0.03286027810913243,0.002654347937697882,0.0002844895408758317,0.7831132363118088,0.9850730643713533,0.0,0.0659192408912373
225,0.604,0.09899999999999999,0.9,0.05,0.0,0.0,0.9,0.9,0.05,0.05,0.9491419380258265,0.01656499457871223,0.0007133722094542555,0.00024074771724117447,0.8967922419441923,1.0,0.0,0.04697644687145379,0.881803251540095,0.033954839449304504,0.0026707665292824154,0.00029241439599060544,0.7805115110135776,0.9830949920666123,0.00043858751628684384,0.06747109138232216
226,0.604,0.09899999999999999,0.9,0.05,0.0,0.0,0.9,0.9,0.05,0.05,0.9421163532344863,0.0061913711559887985,0.0008059083281178159,9.093159722952113e-05,0.8864748450477252,0.9977578614212473,0.0,0.024881551035190828,0.8802206613370387,0.031547067667272784,0.002681974743224101,0.0002733660489725398,0.7787166014499105,0.9817247212241669,0.0,0.06395328641819942
227,0.604,0.09899999999999999,0.9,0.05,0.0,0.0,0.9,0.9,0.05,0.05,0.9130502388334546,0.01195831635636528,0.0011732438453146716,0.00017461056689093153,0.8459150501753385,0.9801854274915707,0.0,0.03785781352847661,0.8740079214137799,0.031022799800825705,0.0027248763907316274,0.00026883514171658306,0.7716952382184173,0.9763206046091425,0.0,0.06315933789095647
228,0.604,0.09899999999999999,0.9,0.05,0.0,0.0,0.9,0.9,0.05,0.05,0.9228708355007694,0.008877351525407329,0.0010519249726534169,0.00013002774613746337,0.8593013854878476,0.9864402855136912,0.0,0.03122717455740647,0.8754160262012393,0.03090806346352552,0.002715306231239666,0.00026749322372800096,0.7732831695001252,0.9775488829023533,0.0,0.06296429481210249
229,0.604,0.09899999999999999,0.9,0.05,0.0,0.0,0.9,0.9,0.05,0.05,0.9208582786026545,0.0010071649626192448,0.0010770193497282347,1.4869220414147565e-05,0.8565350515853788,0.9851815056199301,0.0,0.008565048075170622,0.8775121376026029,0.02807488571793843,0.0026050641754900516,0.000244897305034151,0.7774740721646778,0.9775502030405281,0.0,0.05874730797343032
230,0.604,0.09899999999999999,0.9,0.05,0.0,0.0,0.9,0.9,0.05,0.05,0.9362889705133436,0.019076132146175692,0.0008815556779567526,0.00027653546790912367,0.8780946040124643,0.9944833370142229,0.0,0.05166966913619397,0.8800714723078382,0.03299684299102267,0.0025875466971744445,0.00028268354957182304,0.7803703219039169,0.9797726227117596,4.297942337531946e-05,0.06595070655867002
231,0.604,0.09899999999999999,0.9,0.05,0.0,0.0,0.9,0.9,0.05,0.05,0.9387611709326437,0.0046473989130587715,0.0008495857371696868,6.836158516849765e-05,0.8816317689761111,0.9958905728891763,0.0,0.020852887661729717,0.8805771877586173,0.029472372454092195,0.002584050157283116,0.0002550271363107523,0.7809434229787053,0.9802109525385292,0.0,0.06077272783308728
232,0.604,0.09899999999999999,0.9,0.05,0.0,0.0,0.9,0.9,0.05,0.05,0.9063117532320004,0.015843615815151417,0.0012548388056976064,0.00023043244807467958,0.8368812933749037,0.9757422130890971,0.0,0.0455964189187867,0.8741447796525397,0.03172962622041119,0.002627659657855433,0.0002720729845233484,0.7736738020439913,0.9746157572610881,0.0,0.06405911086438434
