method,track_id,lane,eid,time_ms,dev,true_vid,residual_ms,innovation_var,reliability
full,950,2,4342,191550,55,57.0,267.20865707925986,33440.17869736149,0.9478472301185883
full,950,2,4343,192377,56,57.0,165.42152537993388,33408.798124603556,0.9513844762894903
full,950,2,4344,192987,57,57.0,384.6829792940116,33724.351017294044,0.9169736504344931
full,950,2,4345,193687,58,57.0,296.2721391718369,33417.85474611704,0.950360898504481
full,950,2,4346,194449,59,57.0,235.38757579412777,33495.33778110651,0.9416929857447067
full,950,2,4347,195872,61,57.0,573.3397374642664,33529.11230327493,0.9379639657140206
full,950,2,4348,196578,62,57.0,184.52916130796075,33929.49421627103,0.8959074059785679
full,950,2,4349,197320,63,57.0,178.76834623914328,33421.37156291926,0.949964021920772
full,950,2,4350,197955,64,57.0,308.18743635583087,33621.09134474883,0.9279567609352453
full,950,2,4351,198687,65,57.0,227.54164254674106,33841.3273046476,0.9048415157975949
full,950,2,4352,199401,66,57.0,257.3311817943177,33727.01555878483,0.9166936790833387
full,950,2,4353,200174,67,57.0,206.75773067420232,33520.69171805883,0.9388909098829069
full,950,2,4354,201550,69,57.0,595.4876767056994,33637.527820566094,0.9261909386794527
full,950,2,4355,202203,70,57.0,219.47081149320002,33882.473697131456,0.9006500072815923
full,950,2,4356,203045,71,57.0,65.17832622554852,33480.204364178826,0.9433734915390422
full,950,2,4357,203530,72,57.0,448.16367036211886,33510.96893084347,0.9399634830070013
full,954,2,4358,156489,1,204.0,0.0,33406.567620799826,0.9516369059122437
full,954,2,4359,157235,2,204.0,64.18181818182347,33308.20257628875,0.9629038202356376
full,954,2,4360,157925,3,204.0,63.76884422110743,33670.51518236713,0.9226672039360787
full,954,2,4361,158624,4,204.0,114.8903960933385,33760.89276336837,0.9131489468116919
full,954,2,4362,159225,5,204.0,261.01942417101236,33405.96536294222,0.95170508735
full,954,2,4363,159972,6,204.0,152.24283753079362,33571.9776023351,0.9332735537970503
full,954,2,4364,160581,7,204.0,318.27161454680027,33783.05610126333,0.9108446886556151
full,954,2,4365,162052,9,204.0,424.90915258359746,33464.421558687725,0.9451325107725701
full,954,2,4366,163292,11,204.0,504.7168685370125,33591.583915021685,0.9311437889831528
full,954,2,4367,164059,12,204.0,10.427590913634049,33777.5123256332,0.9114199676641174
full,954,2,4368,164741,13,204.0,151.05190149665577,33694.87642026793,0.9200820820583306
full,954,2,4369,165424,14,204.0,193.9746779736306,33443.91666372868,0.9474276356094853
full,954,2,4370,166043,15,204.0,291.5820738330658,33580.239016032676,0.9323749589086664
full,954,2,4371,166772,16,204.0,206.68209970521275,33539.082935739425,0.936868755134916
full,954,2,4372,167428,17,204.0,298.0916512136755,33488.474246190875,0.94245441147329
full,954,2,4373,168141,18,204.0,254.4153840756917,33518.81813603822,0.9390974043871885
full,954,2,4374,168846,19,204.0,271.9655987173319,33572.53970820127,0.9332123585670266
full,954,2,4375,169398,20,204.0,431.76372121385066,33369.08710901533,0.9558987612140228
full,954,2,4376,170266,21,204.0,120.578974362812,33503.058453768426,0.9408379400772579
full,954,2,4377,170860,22,204.0,397.97779551305575,33698.361903065364,0.919713399965658
full,954,2,4378,171532,23,204.0,322.3709095447266,33788.685655502915,0.9102612510655569
full,954,2,4379,172224,24,204.0,304.0529712267162,33568.26343449332,0.9336781088912773
full,954,2,4380,172864,25,204.0,357.23380438258755,33564.041770396485,0.9341383676634762
full,954,2,4381,173675,26,204.0,187.06205484719248,33925.15387909405,0.8963430892478961
full,954,2,4382,174279,27,204.0,394.6426492516475,33651.63351928344,0.9246808688982227
full,954,2,4383,174976,28,204.0,302.0494674143265,33814.77257692914,0.9075673739942374
full,954,2,4384,175644,29,204.0,331.3344373983273,33952.57807045437,0.8935973455961136
full,954,2,4385,176380,30,204.0,263.53401313579525,33668.35361113137,0.9228972834849386
full,954,2,4386,177010,31,204.0,369.6737635885074,33772.96021626456,0.9118928848176541
full,954,2,4387,177709,32,204.0,300.77161215941305,33646.27919938843,0.9252534894507984
full,954,2,4388,178375,33,204.0,333.8401175570325,33894.898747285435,0.8993919129705056
full,954,2,4389,179009,34,204.0,365.8880769215757,33483.86025929071,0.9429669696927365
full,954,2,4390,179763,35,204.0,245.9216512143903,33504.28275587934,0.9407024942190788
full,954,2,4391,180417,36,204.0,345.9451545609336,33400.166997119035,0.9523620188436398
full,954,2,4392,181129,37,204.0,287.96160756098107,33869.44197349643,0.9019733173637657
full,954,2,4393,181816,38,204.0,312.9731249831384,33373.586021407136,0.9553851813963505
full,954,2,4394,182506,39,204.0,309.9811873365252,33424.590646620694,0.9496010352988473
full,954,2,4395,183220,40,204.0,285.986831061251,33334.21298350625,0.959898674995747
full,954,2,4396,183819,41,204.0,400.9907817064377,33415.76708110841,0.9505966506556824
full,954,2,4397,184565,42,204.0,253.9935471766803,33462.086689050186,0.9453932929276037
full,954,2,4398,185170,43,204.0,394.9954830149363,33666.40146277545,0.9231051705096022
full,954,2,4399,185917,44,204.0,252.9968381061626,33324.37571745906,0.9610330277646254
full,956,2,3790,158442,39,55.0,0.0,33488.01687362659,0.9425051951601414
full,956,2,3791,159053,40,55.0,70.81818181817653,33375.24535169903,0.9551958974404365
full,956,2,3792,159781,41,55.0,25.76884422110743,33401.38743047611,0.952223673316139
full,956,2,3793,160446,42,55.0,148.8903960933385,33504.166454152706,0.9407153591277
full,956,2,3794,161196,43,55.0,112.01942417101236,33492.400803528326,0.9420186570417461
full,956,2,3795,161843,44,55.0,252.24283753079362,33304.97580112048,0.9632779422332173
full,956,2,3796,162493,45,55.0,277.27161454680027,33414.119749441794,0.9507827601967198
full,956,2,3797,163104,46,55.0,336.9545762917842,33369.80870390156,0.9558163493355383
full,956,2,3798,163843,47,55.0,223.99034850628232,34153.950563479564,0.8739396115942175
full,956,2,3799,164451,48,55.0,365.80237445700914,33765.827223181564,0.912634916969809
full,956,2,3800,165203,49,55.0,229.51639414441888,33272.342364283,0.9670779626507144
full,956,2,3801,165830,50,55.0,359.9893306759768,33771.31303543062,0.9120641308416427
full,956,2,3802,166519,51,55.0,301.85684389900416,33459.965220575315,0.9456303650685651
full,956,2,3803,167146,52,55.0,366.58218700950965,33722.07275879421,0.9172131695340232
full,956,2,3804,167867,53,55.0,274.4988646732236,33605.33506290254,0.9296558404201917
full,956,2,3805,168580,54,55.0,283.844944872224,33542.074667883964,0.9365406310574614
full,956,2,3806,169204,55,55.0,373.7893690117635,33371.47253470199,0.955626380763702
full,956,2,3807,169901,56,55.0,301.45153138041496,33412.37179559586,0.9509803173687897
full,956,2,3808,170631,57,55.0,268.9155682037235,33703.559999852834,0.9191641121719472
full,956,2,3809,171283,58,55.0,347.2406507038395,33403.4268492515,0.9519925791598423
full,961,2,4489,160518,1,58.0,0.0,33340.83622372746,0.9591364445260449
full,961,2,4490,161193,2,58.0,6.818181818176527,33291.84014919211,0.9648039344776146
full,961,2,4491,161945,3,58.0,1.768844221107429,33702.53882440839,0.9192719689525608
full,961,2,4492,162700,4,58.0,58.890396093338495,33752.958454317544,0.9139766904815892
full,961,2,4493,163442,5,58.0,120.01942417101236,33391.89957608553,0.9533002543068642
full,961,2,4494,164128,6,58.0,213.24283753079362,33577.95860913462,0.932622826074358
full,961,2,4495,165004,7,58.0,51.271614546800265,33754.883917620886,0.913775679412318
full,961,2,4496,165633,8,58.0,318.9545762917842,33601.75267385707,0.9300430160371912
full,961,2,4497,166347,9,58.0,248.99034850628232,33447.86501048487,0.9469848287195621
full,961,2,4498,167135,10,58.0,185.80237445700914,33678.07682975213,0.9218632373215003
full,961,2,4499,167867,11,58.0,249.51639414441888,33581.721907988154,0.9322138477306441
full,961,2,4500,168614,12,58.0,239.98933067597682,33673.37563837797,0.9223629107681652
full,961,2,4501,169370,13,58.0,234.85684389900416,33655.59314374024,0.9242578604547318
full,961,2,4502,170040,14,58.0,323.58218700950965,33416.09316917302,0.9505598190503509
full,961,2,4503,170745,15,58.0,290.4988646732236,33542.01348682499,0.9365473389077434
full,961,2,4504,171553,16,58.0,188.844944872224,33483.68283306953,0.9429866907348161
full,961,2,4505,172983,18,58.0,565.578738023527,33662.485934319455,0.9235224230847188
full,961,2,4506,173771,19,58.0,103.95619568432448,33681.214567622046,0.9215300391073453
full,961,2,4507,174496,20,58.0,196.83578937588027,33407.89072406643,0.9514871520750268
full,961,2,4508,175215,21,58.0,224.97121892974246,33604.97646851573,0.9296945818818628
full,961,2,4509,175977,22,58.0,198.1093458320829,33799.28875781895,0.9091643904618191
full,961,2,4510,176712,23,58.0,236.73832912067883,33869.863269868074,0.9019304758819571
full,961,2,4511,177506,24,58.0,186.04766448258306,33483.89365105688,0.9429632582680239
full,961,2,4512,178937,26,58.0,540.8985232478008,33845.01999769703,0.9044637549811027
full,961,2,4513,179729,27,58.0,93.53339088655775,33564.54071087056,0.9340839479980502
full,961,2,4514,180483,28,58.0,163.02397847405518,33718.29359108524,0.9176107590802268
full,961,2,4515,181161,29,58.0,262.43402053351747,33832.199055501034,0.9057766870660929
full,961,2,4516,181913,30,58.0,205.54515504662413,33595.52001051206,0.930717395831345
full,961,2,4517,182700,31,58.0,182.8982185939094,33736.498874928555,0.9156986241889052
full,961,2,4518,183331,32,58.0,347.73673436348327,33629.8072327687,0.9270195479712194
full,961,2,4519,184855,34,58.0,446.04031589243095,33498.32014725008,0.9413625118122514
full,961,2,4520,185552,35,58.0,208.51319142134162,33559.12033333233,0.934675490990013
full,961,2,4521,186355,36,58.0,128.92971067575854,33480.01441323449,0.9433946229518972
full,961,2,4522,187036,37,58.0,270.35746402380755,34046.130634503425,0.8843560106778345
full,961,2,4523,187778,38,58.0,223.44598636121373,33491.374308247,0.9421325346864328
full,961,2,4524,188497,39,58.0,256.558828278532,33541.47306783963,0.936606594256161
