method,pd_mae_all_degraded_nodes,pd_rmse_all_degraded_nodes,pf_mae_all_degraded_nodes,pf_rmse_all_degraded_nodes,pd_mae_degrade_interval,pd_rmse_degrade_interval,pf_mae_degrade_interval,pf_rmse_degrade_interval,pd_mae_recovery_interval,pf_mae_recovery_interval,rep_pd_conv_degrade_s,rep_pd_conv_recover_s,rep_pf_conv_degrade_s,rep_pf_conv_recover_s,rep_pd_var_mean,rep_pf_var_mean,innovation_variance_reliability_corr,IDSW,Frag,FalseDelete,n_vehicles,severity,seed
full,0.13604160316343195,0.17087309613808094,0.03148564157897098,0.04085026963202428,0.25614172297749555,0.261664530896083,0.060332610013543814,0.06282504854929377,0.11544241536512656,0.024043117445612328,,164.0,202.0,49,0.002367267832534953,0.00028393009144026844,-0.9949860042417259,380,396,254,255,0.75,11
rule,0.138,0.1920416621465249,0.042,0.04306971093471605,0.3200000000000001,0.32000000000000006,0.054999999999999986,0.055,0.039999999999999925,0.035,,0.0,,0,0.0,0.0,,408,419,304,262,0.75,22
global,0.13298370376279808,0.20661427755621956,0.03557373594172761,0.05173913691026871,0.34705565267242555,0.3477420456854595,0.08523939022163148,0.08614842440649279,0.01703364087678575,0.00836523675683426,,0.0,,0,0.0009485266724631602,0.00024159024223246084,-0.9992491617709355,401,411,294,262,0.75,22
full,0.13686444510965842,0.18298827213983468,0.028622639814392573,0.03655025060111022,0.2932108885369499,0.29658691812574395,0.051655169505957915,0.05486677932637207,0.07995225095504951,0.02310895178908166,,133.0,,37,0.0015837358057108142,0.00033301936419033294,-0.9968233286063142,400,410,285,262,0.75,22
rule,0.18,0.26229754097208,0.0525,0.057662812973353975,0.44000000000000006,0.44,0.08499999999999998,0.085,0.039999999999999925,0.035,,0.0,,0,0.0,0.0,,471,481,304,255,1.0,11
global,0.17281749351105896,0.27560343857901165,0.04618517046277223,0.06975849325509792,0.4641972956057399,0.4650307891064115,0.11633759698857123,0.11710083394368362,0.014427118387431636,0.008410230910060965,,0.0,,0,0.0009516003463060855,0.00023093165221684702,-0.999085541401733,445,457,289,255,1.0,11
full,0.1753392924474546,0.22611580462868236,0.03945270652828954,0.0521329158431371,0.3511281354044748,0.3562103944528297,0.07763058111120902,0.08050693668066913,0.1327741315160916,0.030769703913968192,,,,92,0.0024657562411487415,0.0003415119735216607,-0.993093075430127,427,440,278,255,1.0,11
rule,0.18,0.26229754097208,0.0525,0.057662812973353975,0.44000000000000006,0.44,0.08499999999999998,0.085,0.039999999999999925,0.035,,0.0,,0,0.0,0.0,,436,444,338,262,1.0,22
global,0.1734845021964064,0.2744255975525654,0.04530463039590824,0.06797824373649647,0.4620133808134454,0.4626737703181527,0.11345668375085835,0.11401533130151834,0.017772904764915384,0.008264445953450484,,0.0,,0,0.0009674714171075276,0.0002484627464860682,-0.9991091867134602,432,441,327,262,1.0,22
full,0.17629125670974077,0.23268153429348895,0.03694898796863857,0.047639106569624334,0.3708123477514597,0.37437091819620444,0.0680497085012034,0.07169996576717226,0.11501690674040821,0.030648260289450106,,155.0,112.0,67,0.0017302544196403746,0.0004123944122451971,-0.9939944028977519,424,433,319,262,1.0,22
