tid1,tid2,label,p_I1,p_I2,p_P,pair_count,mean_dt_ms,std_dt_ms,speed_diff
33,415,I2,0.06729649384868927,0.6925356451400675,0.24016786101124324,7,55.714285714285715,63.438866603355756,2.117161818415992
34,410,I1,0.6998310899588931,0.1572771125456562,0.14289179749545058,6,81.66666666666667,64.13960468297952,3.6417154413181407
34,412,I2,0.05579380142656249,0.8310373590189671,0.11316883955447027,4,15.0,11.180339887498949,4.30236405868186
35,407,I2,0.07705489863720147,0.9041337967123992,0.018811304650399308,5,40.0,31.622776601683793,6.153538596850202
37,408,I2,0.10628779505303353,0.8843694492041079,0.009342755742858708,5,782.0,53.81449618829484,4.326486245563855
39,417,I2,0.041285552084172984,0.9587096989970644,4.748918762603453e-06,4,170.0,99.74968671630002,14.866910247680769
39,419,I2,0.20567371521236427,0.7942779229050582,4.836188257769768e-05,2,200.0,60.0,13.324623119690767
41,422,I2,0.4604214448099345,0.5002880328987284,0.03929052229133711,2,440.0,180.0,4.120142196052537
41,423,I2,0.10259561412551786,0.8925361001248363,0.0048682857496458905,17,158.8235294117647,221.06380108975134,1.822311172402987
41,424,I1,0.9262119762710029,0.07112644800173838,0.00266157572725864,13,403.84615384615387,244.4629423399686,1.4932356919760732
42,424,I1,0.9219653373511204,0.02467766950354914,0.0533569931453304,17,112.3529411764706,37.656248878304055,4.386154362172116
43,420,I1,0.8403546137432838,0.12934017600940179,0.030305210247314356,7,685.7142857142857,137.92929274058636,3.7852122160270874
45,420,I1,0.5305977591994687,0.09240718928458846,0.3769950515159428,7,161.42857142857142,96.72177645606148,0.08831328471982047
46,420,I1,0.8368821927009323,0.1309000207652648,0.03221778653380285,6,390.0,120.13880860626733,3.4021815347198228
49,424,I2,0.2642733024750916,0.7136104969834604,0.022116200541447993,2,95.0,65.0,7.084789000310716
49,427,I2,0.3977466554842517,0.5911044916595519,0.011148852856196477,2,455.0,155.0,7.326993328977997
50,428,I2,0.2044024866930867,0.7456718382651857,0.04992567504172762,3,113.33333333333333,89.56685895029602,5.792728071783474
51,429,I2,0.3809763657075783,0.5796503382952406,0.03937329599718107,2,145.0,115.0,6.477920689655171
52,424,I2,0.2517440771496162,0.7365049926246419,0.011750930225742062,2,520.0,130.0,6.670427888028611
53,432,I2,0.05520547508022898,0.5518318399317695,0.3929626849880015,8,60.0,32.4037034920393,0.17987453684034804
53,433,I2,0.04459148945465577,0.8648960584792627,0.09051245206608151,20,201.5,256.9878401792583,1.6586798538001233
53,434,I2,0.0927100732706814,0.526403214653423,0.38088671207589553,3,40.0,0.0,1.1186035573256383
54,435,I2,0.03149225067983065,0.6543366450427706,0.3141711042773988,27,136.66666666666666,67.05442786495382,1.3104511987772582
56,438,I1,0.5920748276105944,0.3922977379085717,0.015627434480833896,2,735.0,45.0,4.513813354240231
58,433,I2,0.06336276639986069,0.9009744228799874,0.03566281072015194,4,97.5,70.84313657652378,5.9011342553248305
59,438,I1,0.5499131351404071,0.204452390574099,0.24563447428549393,6,176.66666666666666,134.24687043734846,1.2980069856533518
60,438,I1,0.6681220529253425,0.3150077675183099,0.016870179556347634,2,540.0,70.0,6.405597558901761
61,465,I2,0.04633366270278274,0.9510401127788881,0.0026262245183290155,17,169.41176470588235,87.68060944904752,7.723138990329302
62,435,I2,0.3243888540923042,0.6623757966743878,0.013235349233307844,2,425.0,255.0,5.0222011635764545
63,463,I2,0.3687570085424402,0.5428818363590865,0.08836115509847325,2,165.0,55.0,5.533907433639554
64,465,I2,0.0731437358214737,0.6146829877804727,0.3121732763980535,12,150.83333333333334,43.100335136619165,1.954765106698387
65,465,I2,0.03503080454859777,0.9356328647076829,0.02933633074371933,6,341.6666666666667,78.61650943380504,5.286294789718566
