method,rep_lane,rep_dev,pd_MAE_rep,pd_RMSE_rep,pf_MAE_rep,pf_RMSE_rep,pd_convergence_degrade_s,pd_convergence_recover_s,pf_convergence_degrade_s,pf_convergence_recover_s,pd_posterior_variance_mean,pf_posterior_variance_mean,innovation_variance_reliability_corr,IDSW,Frag,FalseDelete,n_vehicles,severity,seed
rule,1,21,0.09599999999999999,0.12263767773404717,0.0315,0.031859064644147984,,0.0,0.0,0,0.0,0.0,,447,456,307,282,0.5,33
global,1,21,0.09157905022533809,0.1376033776570753,0.02559649693974152,0.035918833175646085,,0.0,,0,0.0010565358550615718,0.00022107190648513287,-0.9991558598463989,412,423,285,282,0.5,33
full,1,21,0.08339028391155368,0.11271233348523699,0.01918588362314448,0.025655362000479912,,0.0,61.0,0,0.0015640346183554883,0.0002213766620459498,-0.9974655176138499,409,419,285,282,0.5,33
rule,1,21,0.13799999999999998,0.19204166214652488,0.042,0.04306971093471606,,0.0,,0,0.0,0.0,,419,428,281,255,0.75,11
global,1,21,0.1337880755206756,0.20796815645560915,0.03596416445443226,0.052863961916084945,,0.0,,0,0.0009277582643660415,0.00022353023685409368,-0.9993989253351117,402,416,268,255,0.75,11
full,1,21,0.14220751544041918,0.17698942657254488,0.030526742242842506,0.03853891284108264,,164.0,202.0,49,0.002367267832534953,0.00028393009144026844,-0.9949860042417259,380,396,254,255,0.75,11
rule,1,21,0.13799999999999998,0.19204166214652488,0.042,0.04306971093471606,,0.0,,0,0.0,0.0,,408,419,304,262,0.75,22
global,1,21,0.13298370376279806,0.20661427755621956,0.0355737359417276,0.05173913691026871,,0.0,,0,0.0009485266724631602,0.00024159024223246084,-0.9992491617709355,401,411,294,262,0.75,22
full,1,21,0.13861802567781023,0.18198737198886678,0.028472347528475363,0.03533423815417327,,133.0,,37,0.0015837358057108142,0.00033301936419033294,-0.9968233286063142,400,410,285,262,0.75,22
rule,1,21,0.13799999999999998,0.19204166214652488,0.042,0.04306971093471606,,0.0,,0,0.0,0.0,,417,423,305,282,0.75,33
global,1,21,0.13353829674071444,0.20724172071330765,0.03576878773963511,0.05240650662210671,,0.0,,0,0.0010552948382523612,0.00022619631648515982,-0.9992018509248526,408,414,297,282,0.75,33
