method,track_id,lane,eid,time_ms,dev,true_vid,residual_ms,innovation_var,reliability
global,282,1,5697,261102,68,241.0,157.0129763916484,33462.357970681325,0.9453629860278651
global,282,1,5698,261828,69,241.0,189.88210830723983,33462.357970681325,0.9453629860278651
global,282,1,5699,262402,70,241.0,365.59308511804556,33623.78779100426,0.9276666116883174
global,282,1,5700,263040,71,241.0,318.9347275076434,33747.74514614929,0.9145213842359776
global,282,1,5701,263695,72,241.0,314.45974189415574,33747.74514614929,0.9145213842359776
global,294,1,6498,258283,1,201.0,0.0,33714.763648788634,0.9179824401906777
global,294,1,6499,258969,2,201.0,4.181818181823473,33714.763648788634,0.9179824401906777
global,294,1,6500,259675,3,201.0,47.76884422110743,33621.65362473919,0.927896242206321
global,294,1,16878,259986,4,,502.8903960933385,33621.65362473919,0.927896242206321
global,294,1,6502,260908,5,201.0,59.98057582898764,33491.29577079028,0.9421412486324734
global,297,1,6566,259763,1,165.0,0.0,33621.65362473919,0.927896242206321
global,297,1,6567,260451,2,165.0,6.181818181823473,33491.29577079028,0.9421412486324734
global,297,1,6568,261258,3,165.0,53.23115577889257,33462.357970681325,0.9453629860278651
global,297,1,6569,262004,4,165.0,67.8903960933385,33623.78779100426,0.9276666116883174
global,297,1,6570,262863,5,165.0,3.0194241710123606,33623.78779100426,0.9276666116883174
global,297,1,6571,263603,6,165.0,159.24283753079362,33747.74514614929,0.9145213842359776
global,297,1,6572,264380,7,165.0,150.27161454677116,33728.349530136824,0.9165535789301269
global,297,1,6573,265068,8,165.0,259.9545762917842,33817.79708358557,0.9072560781526823
global,297,1,6574,266600,10,165.0,393.98069701256463,33833.68668173028,0.9056241508480829
global,297,1,6575,267495,11,165.0,0.9832801662269048,33972.515219973866,0.8916117503140111
global,297,1,6576,268213,12,165.0,205.37542680092156,33863.76980929854,0.9025505142978326
global,297,1,6577,268995,13,165.0,163.10081067535793,33863.76980929854,0.9025505142978326
global,297,1,6578,269689,14,165.0,266.92704541335115,33756.39744298115,0.9136177351580292
global,297,1,6579,270442,15,165.0,219.32452299247961,33632.002373888194,0.9267838044391643
global,297,1,6580,271253,16,165.0,169.46497374371393,33858.53880939088,0.9030834737123072
global,297,1,6581,271952,17,165.0,287.24486957036424,33858.53880939088,0.9030834737123072
global,297,1,6582,272855,18,165.0,87.33151130232727,33815.714197488254,0.9074704352687989
global,297,1,6583,273514,19,165.0,334.21237007464515,33727.90633636575,0.9166001205429017
global,297,1,6584,274297,20,165.0,212.23896420758683,33946.56648567386,0.8941977922827047
global,297,1,6585,275054,21,165.0,239.66250796959503,33695.082587428704,0.9200602661976264
global,297,1,6586,276580,23,165.0,469.3228281502961,33748.09031286732,0.9144853006641943
global,297,1,6587,277403,24,165.0,90.3874468858703,33609.46961377504,0.9292093890662089
global,297,1,6588,278211,25,165.0,129.75382271932904,33655.6740466116,0.9242492215995273
global,297,1,6589,278903,26,165.0,263.5985293596168,33655.6740466116,0.9242492215995273
global,297,1,6590,279676,27,165.0,195.4993682388449,33988.03918525633,0.8900717759578664
global,297,1,6591,280439,28,165.0,214.73918888310436,34079.06194322136,0.881148300345389
global,297,1,6592,281337,29,165.0,86.31266840046737,34175.85844379569,0.871853031408658
global,297,1,6593,282037,30,165.0,288.96694411849603,34341.47285403858,0.856396001465805
global,297,1,6594,282758,31,165.0,271.25121304305503,34341.47285403858,0.856396001465805
global,297,1,6595,283396,32,165.0,356.56321057328023,33985.52456545248,0.8903208646002015
global,297,1,6596,285050,34,165.0,338.3760598754161,33961.6486395778,0.8926928874079242
global,297,1,6597,285855,35,165.0,133.58329296007287,33961.6486395778,0.8926928874079242
global,297,1,6598,286563,36,165.0,248.20131374738412,33767.19739311212,0.9124922870203812
global,297,1,6599,287342,37,165.0,189.93270764598856,33743.81078534463,0.914932881828674
global,297,1,6600,288133,38,165.0,187.0483014007914,33713.99893334062,0.9180629996856219
global,297,1,6601,288895,39,165.0,222.53194596251706,33713.99893334062,0.9180629996856219
global,297,1,6602,289697,40,165.0,187.12188318412518,33705.47490228187,0.9189619279590422
global,297,1,6603,290329,41,165.0,360.3603868475766,33945.53952623625,0.8943004473388002
global,297,1,6604,291224,42,165.0,99.63998626387911,33702.26905408962,0.9193004663812836
global,297,1,6605,292037,43,165.0,183.24194742069812,33986.44005143256,0.8902301639150968
global,297,1,6606,292751,44,165.0,283.36639402556466,33986.44005143256,0.8902301639150968
global,297,1,6607,293485,45,165.0,264.15501813130686,34211.08996156122,0.8685182788773945
global,297,1,6608,294176,46,165.0,307.7077974648564,33864.320062723345,0.90249448839759
global,297,1,6609,295017,47,165.0,158.09510743402643,34215.74579525901,0.8680794997747826
global,297,1,6610,296613,49,165.0,402.73280640546,33861.96693519588,0.9027341287211844
global,297,1,6611,297331,50,165.0,211.03678100917023,33754.546287255944,0.91381092034954
global,297,1,6612,298076,51,165.0,204.24523015215527,33878.58915662884,0.9010440576616975
global,297,1,6613,298796,52,165.0,243.9223269081558,33878.58915662884,0.9010440576616975
global,297,1,6614,299552,53,165.0,218.469302387035,34082.76446197012,0.8807891070495453
global,297,1,6615,300332,54,165.0,201.99057370587252,34505.24603259192,0.8416404975283465
global,297,1,6616,301140,55,165.0,179.3249203201267,34235.8665770124,0.8661883466259237
global,297,1,6617,301921,56,165.0,210.0935773390229,34235.8665770124,0.8661883466259237
global,297,1,6618,302769,57,165.0,145.74880139221204,33950.534358746125,0.8938013842919555
global,297,1,6619,303378,58,165.0,386.61593928426737,33837.06570633745,0.9052778677726524
global,297,1,6620,304228,59,165.0,146.92711598594906,33875.208148355356,0.9013873101649409
global,297,1,6621,304915,60,165.0,310.8469964110991,33875.208148355356,0.9013873101649409
global,297,1,6622,305702,61,165.0,211.49192341946764,33934.71120547062,0.8953842845084564
global,297,1,6623,306489,62,165.0,211.94386857550126,33845.987906870374,0.9043647904816462
global,297,1,6624,307247,63,165.0,241.26047369174194,33766.768671852435,0.9125369106277088
global,297,1,6625,308053,64,165.0,193.4822167099337,33623.91766405631,0.9276526413677698
global,297,1,6626,308847,65,165.0,205.63749538728734,33623.91766405631,0.9276526413677698
global,297,1,6627,309655,66,165.0,191.74621917208424,33933.21577938454,0.8955341724154756
global,297,1,6628,311126,68,165.0,528.6446797889075,33496.77100309666,0.9415341424506303
global,297,1,6629,311837,69,165.0,191.51878685312113,33496.77100309666,0.9415341424506303
global,297,1,6630,312729,70,165.0,37.70749108388554,33416.80724461304,0.9504791742878745
global,297,1,6631,313425,71,165.0,253.73527364101028,33616.832746041844,0.9284153743931974
global,297,1,6632,314230,72,165.0,159.27599433797877,33940.46482636255,0.8948080614791504
global,298,1,6501,260155,4,201.0,0.0,33491.29577079028,0.9421412486324734
global,298,1,6503,261607,6,201.0,88.36363636364695,33462.357970681325,0.9453629860278651
global,298,1,6504,262125,7,201.0,176.49758934718557,33623.78779100426,0.9276666116883174
global,298,1,6505,262817,8,201.0,72.57108194177272,33623.78779100426,0.9276666116883174
global,298,1,6506,263423,9,201.0,216.6755675781751,33747.74514614929,0.9145213842359776
global,298,1,6507,264219,10,201.0,72.89865587360691,33728.349530136824,0.9165535789301269
global,298,1,6508,264802,11,201.0,321.47190043510636,33728.349530136824,0.9165535789301269
global,298,1,6509,265452,12,201.0,281.1574097601697,33817.79708358557,0.9072560781526823
global,298,1,6510,266027,13,201.0,375.7939451506827,33833.68668173028,0.9056241508480829
global,298,1,6511,266693,14,201.0,299.0396838350571,33833.68668173028,0.9056241508480829
global,298,1,6512,267372,15,201.0,296.26839122595266,33972.515219973866,0.8916117503140111
global,298,1,6513,268083,16,201.0,271.55846670479514,33863.76980929854,0.9025505142978326
global,298,1,6514,268672,17,201.0,398.7267071797396,33863.76980929854,0.9025505142978326
global,298,1,6515,269294,18,201.0,369.3769450422842,33756.39744298115,0.9136177351580292
global,298,1,6516,269917,19,201.0,370.94820604403503,33756.39744298115,0.9136177351580292
global,298,1,6517,270540,20,201.0,372.75603915785905,33632.002373888194,0.9267838044391643
global,298,1,6518,271210,21,201.0,327.0254402359715,33858.53880939088,0.9030834737123072
global,298,1,6519,271893,22,201.0,314.9159484243719,33858.53880939088,0.9030834737123072
global,298,1,6520,272530,23,201.0,361.54025123955216,33815.714197488254,0.9074704352687989
global,298,1,6521,273202,24,201.0,326.9777281896677,33727.90633636575,0.9166001205429017
global,298,1,6522,273840,25,201.0,361.2841902071377,33727.90633636575,0.9166001205429017
global,298,1,6523,274472,26,201.0,367.49882552132476,33946.56648567386,0.8941977922827047
global,298,1,6524,275093,27,201.0,378.64912511006696,33695.082587428704,0.9200602661976264
global,298,1,6525,275776,28,201.0,316.75436172052287,33695.082587428704,0.9200602661976264
global,298,1,6526,276364,29,201.0,411.8280405324185,33748.09031286732,0.9144853006641943
global,298,1,6527,277003,30,201.0,360.87962216266897,33609.46961377504,0.9292093890662089
global,298,1,6528,277685,31,201.0,317.9157324706903,33609.46961377504,0.9292093890662089
global,298,1,6529,278408,32,201.0,276.9410112382029,33655.6740466116,0.9242492215995273
global,298,1,6530,279004,33,201.0,403.9587071360438,33988.03918525633,0.8900717759578664
global,298,1,6531,280297,35,201.0,706.9421892742976,34079.06194322136,0.881148300345389
global,298,1,6532,280989,36,201.0,167.0641979292268,34079.06194322136,0.881148300345389
global,298,1,6533,281539,37,201.0,346.989581776259,34175.85844379569,0.871853031408658
global,298,1,6534,282279,38,201.0,185.59330790187232,34341.47285403858,0.856396001465805
global,298,1,6535,282870,39,201.0,355.7261359310942,34341.47285403858,0.856396001465805
global,298,1,6536,283563,40,201.0,269.1026130799437,33985.52456545248,0.8903208646002015
global,298,1,6537,284152,41,201.0,384.1667562092771,34015.40034410238,0.8873704654983376
global,298,1,6538,285506,43,201.0,608.1285948993172,33961.6486395778,0.8926928874079242
global,298,1,6539,286166,44,201.0,204.57153404061683,33767.19739311212,0.9124922870203812
global,298,1,6540,286809,45,201.0,258.18538011272904,33767.19739311212,0.9124922870203812
global,298,1,6541,287404,46,201.0,333.71661386743654,33743.81078534463,0.914932881828674
global,298,1,6542,288130,47,201.0,223.0112341416534,33713.99893334062,0.9180629996856219
global,298,1,6543,288693,48,201.0,400.7534132821602,33713.99893334062,0.9180629996856219
