method,sec,rep_lane,rep_dev,pd_true,pf_true,pd_hat,pf_hat,pd_var,pf_var,pd_ci_low,pd_ci_high,pf_ci_low,pf_ci_high
rule,139,1,21,0.94,0.015,0.9,0.05,0.0,0.0,0.9,0.9,0.05,0.05
rule,140,1,21,0.94,0.015,0.9,0.05,0.0,0.0,0.9,0.9,0.05,0.05
rule,141,1,21,0.94,0.015,0.9,0.05,0.0,0.0,0.9,0.9,0.05,0.05
rule,142,1,21,0.94,0.015,0.9,0.05,0.0,0.0,0.9,0.9,0.05,0.05
rule,143,1,21,0.94,0.015,0.9,0.05,0.0,0.0,0.9,0.9,0.05,0.05
rule,144,1,21,0.94,0.015,0.9,0.05,0.0,0.0,0.9,0.9,0.05,0.05
rule,145,1,21,0.94,0.015,0.9,0.05,0.0,0.0,0.9,0.9,0.05,0.05
rule,146,1,21,0.94,0.015,0.9,0.05,0.0,0.0,0.9,0.9,0.05,0.05
rule,147,1,21,0.94,0.015,0.9,0.05,0.0,0.0,0.9,0.9,0.05,0.05
rule,148,1,21,0.94,0.015,0.9,0.05,0.0,0.0,0.9,0.9,0.05,0.05
rule,149,1,21,0.94,0.015,0.9,0.05,0.0,0.0,0.9,0.9,0.05,0.05
rule,150,1,21,0.94,0.015,0.9,0.05,0.0,0.0,0.9,0.9,0.05,0.05
rule,151,1,21,0.94,0.015,0.9,0.05,0.0,0.0,0.9,0.9,0.05,0.05
rule,152,1,21,0.94,0.015,0.9,0.05,0.0,0.0,0.9,0.9,0.05,0.05
rule,153,1,21,0.94,0.015,0.9,0.05,0.0,0.0,0.9,0.9,0.05,0.05
rule,154,1,21,0.94,0.015,0.9,0.05,0.0,0.0,0.9,0.9,0.05,0.05
rule,155,1,21,0.94,0.015,0.9,0.05,0.0,0.0,0.9,0.9,0.05,0.05
rule,156,1,21,0.94,0.015,0.9,0.05,0.0,0.0,0.9,0.9,0.05,0.05
rule,157,1,21,0.94,0.015,0.9,0.05,0.0,0.0,0.9,0.9,0.05,0.05
rule,158,1,21,0.94,0.015,0.9,0.05,0.0,0.0,0.9,0.9,0.05,0.05
rule,159,1,21,0.94,0.015,0.9,0.05,0.0,0.0,0.9,0.9,0.05,0.05
rule,160,1,21,0.94,0.015,0.9,0.05,0.0,0.0,0.9,0.9,0.05,0.05
rule,161,1,21,0.94,0.015,0.9,0.05,0.0,0.0,0.9,0.9,0.05,0.05
rule,162,1,21,0.94,0.015,0.9,0.05,0.0,0.0,0.9,0.9,0.05,0.05
rule,163,1,21,0.94,0.015,0.9,0.05,0.0,0.0,0.9,0.9,0.05,0.05
rule,164,1,21,0.94,0.015,0.9,0.05,0.0,0.0,0.9,0.9,0.05,0.05
rule,165,1,21,0.94,0.015,0.9,0.05,0.0,0.0,0.9,0.9,0.05,0.05
rule,166,1,21,0.94,0.015,0.9,0.05,0.0,0.0,0.9,0.9,0.05,0.05
rule,167,1,21,0.94,0.015,0.9,0.05,0.0,0.0,0.9,0.9,0.05,0.05
rule,168,1,21,0.94,0.015,0.9,0.05,0.0,0.0,0.9,0.9,0.05,0.05
rule,169,1,21,0.94,0.015,0.9,0.05,0.0,0.0,0.9,0.9,0.05,0.05
rule,170,1,21,0.94,0.015,0.9,0.05,0.0,0.0,0.9,0.9,0.05,0.05
rule,171,1,21,0.94,0.015,0.9,0.05,0.0,0.0,0.9,0.9,0.05,0.05
rule,172,1,21,0.94,0.015,0.9,0.05,0.0,0.0,0.9,0.9,0.05,0.05
rule,173,1,21,0.94,0.015,0.9,0.05,0.0,0.0,0.9,0.9,0.05,0.05
rule,174,1,21,0.94,0.015,0.9,0.05,0.0,0.0,0.9,0.9,0.05,0.05
rule,175,1,21,0.94,0.015,0.9,0.05,0.0,0.0,0.9,0.9,0.05,0.05
rule,176,1,21,0.94,0.015,0.9,0.05,0.0,0.0,0.9,0.9,0.05,0.05
rule,177,1,21,0.94,0.015,0.9,0.05,0.0,0.0,0.9,0.9,0.05,0.05
rule,178,1,21,0.94,0.015,0.9,0.05,0.0,0.0,0.9,0.9,0.05,0.05
rule,179,1,21,0.94,0.015,0.9,0.05,0.0,0.0,0.9,0.9,0.05,0.05
rule,180,1,21,0.604,0.09899999999999999,0.9,0.05,0.0,0.0,0.9,0.9,0.05,0.05
rule,181,1,21,0.604,0.09899999999999999,0.9,0.05,0.0,0.0,0.9,0.9,0.05,0.05
rule,182,1,21,0.604,0.09899999999999999,0.9,0.05,0.0,0.0,0.9,0.9,0.05,0.05
rule,183,1,21,0.604,0.09899999999999999,0.9,0.05,0.0,0.0,0.9,0.9,0.05,0.05
rule,184,1,21,0.604,0.09899999999999999,0.9,0.05,0.0,0.0,0.9,0.9,0.05,0.05
rule,185,1,21,0.604,0.09899999999999999,0.9,0.05,0.0,0.0,0.9,0.9,0.05,0.05
rule,186,1,21,0.604,0.09899999999999999,0.9,0.05,0.0,0.0,0.9,0.9,0.05,0.05
rule,187,1,21,0.604,0.09899999999999999,0.9,0.05,0.0,0.0,0.9,0.9,0.05,0.05
rule,188,1,21,0.604,0.09899999999999999,0.9,0.05,0.0,0.0,0.9,0.9,0.05,0.05
rule,189,1,21,0.604,0.09899999999999999,0.9,0.05,0.0,0.0,0.9,0.9,0.05,0.05
rule,190,1,21,0.604,0.09899999999999999,0.9,0.05,0.0,0.0,0.9,0.9,0.05,0.05
rule,191,1,21,0.604,0.09899999999999999,0.9,0.05,0.0,0.0,0.9,0.9,0.05,0.05
rule,192,1,21,0.604,0.09899999999999999,0.9,0.05,0.0,0.0,0.9,0.9,0.05,0.05
rule,193,1,21,0.604,0.09899999999999999,0.9,0.05,0.0,0.0,0.9,0.9,0.05,0.05
rule,194,1,21,0.604,0.09899999999999999,0.9,0.05,0.0,0.0,0.9,0.9,0.05,0.05
rule,195,1,21,0.604,0.09899999999999999,0.9,0.05,0.0,0.0,0.9,0.9,0.05,0.05
rule,196,1,21,0.604,0.09899999999999999,0.9,0.05,0.0,0.0,0.9,0.9,0.05,0.05
rule,197,1,21,0.604,0.09899999999999999,0.9,0.05,0.0,0.0,0.9,0.9,0.05,0.05
rule,198,1,21,0.604,0.09899999999999999,0.9,0.05,0.0,0.0,0.9,0.9,0.05,0.05
rule,199,1,21,0.604,0.09899999999999999,0.9,0.05,0.0,0.0,0.9,0.9,0.05,0.05
rule,200,1,21,0.604,0.09899999999999999,0.9,0.05,0.0,0.0,0.9,0.9,0.05,0.05
rule,201,1,21,0.604,0.09899999999999999,0.9,0.05,0.0,0.0,0.9,0.9,0.05,0.05
rule,202,1,21,0.604,0.09899999999999999,0.9,0.05,0.0,0.0,0.9,0.9,0.05,0.05
rule,203,1,21,0.604,0.09899999999999999,0.9,0.05,0.0,0.0,0.9,0.9,0.05,0.05
rule,204,1,21,0.604,0.09899999999999999,0.9,0.05,0.0,0.0,0.9,0.9,0.05,0.05
rule,205,1,21,0.604,0.09899999999999999,0.9,0.05,0.0,0.0,0.9,0.9,0.05,0.05
rule,206,1,21,0.604,0.09899999999999999,0.9,0.05,0.0,0.0,0.9,0.9,0.05,0.05
rule,207,1,21,0.604,0.09899999999999999,0.9,0.05,0.0,0.0,0.9,0.9,0.05,0.05
rule,208,1,21,0.604,0.09899999999999999,0.9,0.05,0.0,0.0,0.9,0.9,0.05,0.05
rule,209,1,21,0.604,0.09899999999999999,0.9,0.05,0.0,0.0,0.9,0.9,0.05,0.05
rule,210,1,21,0.604,0.09899999999999999,0.9,0.05,0.0,0.0,0.9,0.9,0.05,0.05
rule,211,1,21,0.604,0.09899999999999999,0.9,0.05,0.0,0.0,0.9,0.9,0.05,0.05
rule,212,1,21,0.604,0.09899999999999999,0.9,0.05,0.0,0.0,0.9,0.9,0.05,0.05
rule,213,1,21,0.604,0.09899999999999999,0.9,0.05,0.0,0.0,0.9,0.9,0.05,0.05
rule,214,1,21,0.604,0.09899999999999999,0.9,0.05,0.0,0.0,0.9,0.9,0.05,0.05
rule,215,1,21,0.604,0.09899999999999999,0.9,0.05,0.0,0.0,0.9,0.9,0.05,0.05
rule,216,1,21,0.604,0.09899999999999999,0.9,0.05,0.0,0.0,0.9,0.9,0.05,0.05
rule,217,1,21,0.604,0.09899999999999999,0.9,0.05,0.0,0.0,0.9,0.9,0.05,0.05
rule,218,1,21,0.604,0.09899999999999999,0.9,0.05,0.0,0.0,0.9,0.9,0.05,0.05
rule,219,1,21,0.604,0.09899999999999999,0.9,0.05,0.0,0.0,0.9,0.9,0.05,0.05
rule,220,1,21,0.604,0.09899999999999999,0.9,0.05,0.0,0.0,0.9,0.9,0.05,0.05
rule,221,1,21,0.604,0.09899999999999999,0.9,0.05,0.0,0.0,0.9,0.9,0.05,0.05
rule,222,1,21,0.604,0.09899999999999999,0.9,0.05,0.0,0.0,0.9,0.9,0.05,0.05
rule,223,1,21,0.604,0.09899999999999999,0.9,0.05,0.0,0.0,0.9,0.9,0.05,0.05
rule,224,1,21,0.604,0.09899999999999999,0.9,0.05,0.0,0.0,0.9,0.9,0.05,0.05
rule,225,1,21,0.604,0.09899999999999999,0.9,0.05,0.0,0.0,0.9,0.9,0.05,0.05
rule,226,1,21,0.604,0.09899999999999999,0.9,0.05,0.0,0.0,0.9,0.9,0.05,0.05
rule,227,1,21,0.604,0.09899999999999999,0.9,0.05,0.0,0.0,0.9,0.9,0.05,0.05
rule,228,1,21,0.604,0.09899999999999999,0.9,0.05,0.0,0.0,0.9,0.9,0.05,0.05
rule,229,1,21,0.604,0.09899999999999999,0.9,0.05,0.0,0.0,0.9,0.9,0.05,0.05
rule,230,1,21,0.604,0.09899999999999999,0.9,0.05,0.0,0.0,0.9,0.9,0.05,0.05
rule,231,1,21,0.604,0.09899999999999999,0.9,0.05,0.0,0.0,0.9,0.9,0.05,0.05
rule,232,1,21,0.604,0.09899999999999999,0.9,0.05,0.0,0.0,0.9,0.9,0.05,0.05
rule,233,1,21,0.604,0.09899999999999999,0.9,0.05,0.0,0.0,0.9,0.9,0.05,0.05
rule,234,1,21,0.604,0.09899999999999999,0.9,0.05,0.0,0.0,0.9,0.9,0.05,0.05
rule,235,1,21,0.604,0.09899999999999999,0.9,0.05,0.0,0.0,0.9,0.9,0.05,0.05
rule,236,1,21,0.604,0.09899999999999999,0.9,0.05,0.0,0.0,0.9,0.9,0.05,0.05
rule,237,1,21,0.604,0.09899999999999999,0.9,0.05,0.0,0.0,0.9,0.9,0.05,0.05
rule,238,1,21,0.604,0.09899999999999999,0.9,0.05,0.0,0.0,0.9,0.9,0.05,0.05
rule,239,1,21,0.604,0.09899999999999999,0.9,0.05,0.0,0.0,0.9,0.9,0.05,0.05
rule,240,1,21,0.604,0.09899999999999999,0.9,0.05,0.0,0.0,0.9,0.9,0.05,0.05
rule,241,1,21,0.604,0.09899999999999999,0.9,0.05,0.0,0.0,0.9,0.9,0.05,0.05
rule,242,1,21,0.604,0.09899999999999999,0.9,0.05,0.0,0.0,0.9,0.9,0.05,0.05
rule,243,1,21,0.604,0.09899999999999999,0.9,0.05,0.0,0.0,0.9,0.9,0.05,0.05
rule,244,1,21,0.604,0.09899999999999999,0.9,0.05,0.0,0.0,0.9,0.9,0.05,0.05
rule,245,1,21,0.604,0.09899999999999999,0.9,0.05,0.0,0.0,0.9,0.9,0.05,0.05
