method,pd_mae_all_degraded_nodes,pd_rmse_all_degraded_nodes,pf_mae_all_degraded_nodes,pf_rmse_all_degraded_nodes,pd_mae_degrade_interval,pd_rmse_degrade_interval,pf_mae_degrade_interval,pf_rmse_degrade_interval,pd_mae_recovery_interval,pf_mae_recovery_interval,rep_pd_conv_degrade_s,rep_pd_conv_recover_s,rep_pf_conv_degrade_s,rep_pf_conv_recover_s,rep_pd_var_mean,rep_pf_var_mean,innovation_variance_reliability_corr,IDSW,Frag,FalseDelete,n_vehicles,severity,seed
global,0.14014076934286535,0.21960117061044057,0.037831002278877354,0.056064917202750364,0.36926781328201297,0.37008990630988614,0.09297213403507802,0.09377442050508962,0.015994531659176754,0.007621142420705586,,0.0,,0,0.0009489837082638175,0.00022461536422120214,-0.9993984613495595,416,428,275,255,0.8,11
full,0.1421012669597224,0.17939619880984167,0.031884681394330865,0.04217552805669142,0.2705432535672936,0.2761838954896059,0.06408209499230927,0.06617242138210636,0.11839322624546632,0.02218271775701228,,,99.0,33,0.0026155838144128014,0.00029575107973171957,-0.9946395197711729,391,404,264,255,0.8,11
rule,0.14640000000000003,0.20605242051478068,0.0441,0.045810479150517516,0.34400000000000014,0.34400000000000003,0.06099999999999999,0.061,0.039999999999999925,0.035,,0.0,,0,0.0,0.0,,409,416,308,262,0.8,22
global,0.13899774055914785,0.21779691013671462,0.03697094238334152,0.05439897885259605,0.36615998842055725,0.3667883237572779,0.09010158338004459,0.09087079271583408,0.015112267403939067,0.00852934383050813,,0.0,,0,0.0009689749381365989,0.00024421822885881085,-0.9992692537697041,408,416,303,262,0.8,22
full,0.1480140620252354,0.1937005973551673,0.029181011473420407,0.03741776543582369,0.3065712898718403,0.3105302609139431,0.051080761703807404,0.05477899510659507,0.09844789795037914,0.02596889089495306,,,79.0,25,0.0017334872903499376,0.00038866417137626793,-0.9961255268603412,400,409,299,262,0.8,22
rule,0.16319999999999996,0.2341418373550528,0.04830000000000001,0.05158875846538662,0.3919999999999999,0.392,0.073,0.073,0.039999999999999925,0.035,,0.0,,0,0.0,0.0,,434,441,281,255,0.9,11
global,0.1564064348903429,0.2469293513753677,0.04174370477442878,0.06269888531993578,0.4157351758374071,0.4164068331762883,0.10439891645324567,0.10508095073328569,0.016000499239432846,0.007745577636220242,,0.0,,0,0.0009547600474879444,0.0002273085997139956,-0.9992428826321906,417,425,269,255,0.9,11
full,0.15691619014005134,0.20325352151459175,0.03532613674793179,0.0468232607786012,0.31239295293851704,0.3185092802485052,0.07094395974485994,0.07334824049562061,0.11887187881803998,0.024855015552097584,,201.0,,37,0.0023503234518134973,0.00034063783367916506,-0.9936004771928646,398,411,264,255,0.9,11
rule,0.16319999999999996,0.2341418373550528,0.04830000000000001,0.05158875846538662,0.3919999999999999,0.392,0.073,0.073,0.039999999999999925,0.035,,0.0,,0,0.0,0.0,,454,467,336,262,0.9,22
global,0.15663234331020076,0.24668825493991942,0.04121387364655182,0.06143696085587391,0.4152326695591902,0.41573216326071455,0.10218411927593879,0.1028471896129121,0.016424165554028758,0.00812067664943975,,0.0,,0,0.000969285106926578,0.00024428800439705504,-0.9992792345855207,445,459,324,262,0.9,22
full,0.16720328461496833,0.2212254040626757,0.033688543944506794,0.043584869859886494,0.35370900356579066,0.35720064001550983,0.06269210153717343,0.065951187476165,0.10613653451280847,0.02715297732326834,,,98.0,44,0.001678778367047374,0.0003593735783803797,-0.9958122026297195,429,446,312,262,0.9,22
rule,0.18,0.26229754097208,0.0525,0.057662812973353975,0.44000000000000006,0.44,0.08499999999999998,0.085,0.039999999999999925,0.035,,0.0,,0,0.0,0.0,,471,481,304,255,1.0,11
global,0.17281749351105896,0.27560343857901165,0.04618517046277223,0.06975849325509792,0.4641972956057399,0.4650307891064115,0.11633759698857123,0.11710083394368362,0.014427118387431636,0.008410230910060965,,0.0,,0,0.0009516003463060855,0.00023093165221684702,-0.999085541401733,445,457,289,255,1.0,11
full,0.1753392924474546,0.22611580462868236,0.03945270652828954,0.0521329158431371,0.3511281354044748,0.3562103944528297,0.07763058111120902,0.08050693668066913,0.1327741315160916,0.030769703913968192,,,,92,0.0024657562411487415,0.0003415119735216607,-0.993093075430127,427,440,278,255,1.0,11
rule,0.18,0.26229754097208,0.0525,0.057662812973353975,0.44000000000000006,0.44,0.08499999999999998,0.085,0.039999999999999925,0.035,,0.0,,0,0.0,0.0,,436,444,338,262,1.0,22
global,0.1734845021964064,0.2744255975525654,0.04530463039590824,0.06797824373649647,0.4620133808134454,0.4626737703181527,0.11345668375085835,0.11401533130151834,0.017772904764915384,0.008264445953450484,,0.0,,0,0.0009674714171075276,0.0002484627464860682,-0.9991091867134602,432,441,327,262,1.0,22
full,0.17629125670974077,0.23268153429348895,0.03694898796863857,0.047639106569624334,0.3708123477514597,0.37437091819620444,0.0680497085012034,0.07169996576717226,0.11501690674040821,0.030648260289450106,,155.0,112.0,67,0.0017302544196403746,0.0004123944122451971,-0.9939944028977519,424,433,319,262,1.0,22
